,Date,Hour,Dew_Point,TD1,TD2,TD3,TD4,TD5
144,2023/1/13,00:20,7,8,1018,"27,8 km/sa, K","10,00",Kapalı (122 m)
145,2023/1/13,02:20,7,8,1018,"29,6 km/sa, K","10,00",Kapalı (183 m)
146,2023/1/13,04:20,6,8,1018,"25,9 km/sa, K","10,00",Kapalı (213 m)
147,2023/1/13,06:20,6,8,1017,"31,5 km/sa, K","10,00",Kapalı (914 m)
148,2023/1/13,08:20,7,8,1018,"29,6 km/sa, K","10,00",Kapalı (366 m)
149,2023/1/13,10:20,7,8,1018,"25,9 km/sa, K","10,00",Çok bulutlu (1.006 m)
150,2023/1/13,12:20,7,9,1018,"27,8 km/sa, K","10,00",Çok bulutlu (1.067 m)
151,2023/1/13,14:20,8,10,1018,"24,1 km/sa, K","10,00",Çok bulutlu (244 m)
152,2023/1/13,16:20,8,10,1018,"20,4","10,00",Çok bulutlu (335 m)
153,2023/1/13,18:20,8,10,1019,"18,5","10,00",Çok bulutlu (335 m)
154,2023/1/13,20:20,8,10,1019,"24,1 km/sa, K","10,00",Çok bulutlu (1.067 m)
155,2023/1/13,22:20,8,10,1019,"24,1 km/sa, K","10,00",Kapalı (1.128 m)
156,2023/1/14,00:20,7,10,1019,"20,4","10,00",Çok bulutlu (762 m)
157,2023/1/14,02:20,7,10,1019,"14,8","10,00",Kapalı (914 m)
158,2023/1/14,04:20,7,10,1019,"16,7","10,00",Kapalı (640 m)
159,2023/1/14,06:20,6,10,1019,"18,5 km/sa, K","10,00",Kapalı (792 m)
160,2023/1/14,08:20,7,9,1019,"22,2 km/sa, K","10,00",Kapalı (1.067 m)
161,2023/1/14,10:20,7,10,1019,"16,7 km/sa, K","10,00",Kapalı (1.067 m)
162,2023/1/14,12:20,7,11,1019,"14,8 km/sa, K","10,00",Kapalı (1.219 m)
163,2023/1/14,14:20,7,11,1018,"22,2 km/sa, K","10,00",Kapalı (975 m)
164,2023/1/14,16:20,7,11,1018,"20,4","10,00",Çok bulutlu (1.067 m)
165,2023/1/14,18:20,7,10,1019,"20,4 km/sa, K","10,00",Kapalı (2.438 m)
166,2023/1/14,20:20,6,10,1020,"22,2","10,00",Kapalı (2.743 m)
167,2023/1/14,22:20,6,10,1020,"22,2","10,00",Çok bulutlu (1.128 m)
168,2023/1/15,00:20,7,9,1020,"20,4 km/sa, K","10,00",Kapalı (914 m)
169,2023/1/15,02:20,6,9,1020,"20,4 km/sa, K","10,00",Kapalı (884 m)
170,2023/1/15,04:20,7,9,1020,"22,2 km/sa, K","10,00",Kapalı (823 m)
171,2023/1/15,06:20,6,9,1020,"18,5","10,00",Kapalı (914 m)
172,2023/1/15,08:20,6,9,1021,"22,2","10,00",Kapalı (823 m)
173,2023/1/15,10:20,6,10,1021,"18,5","10,00",Kapalı (914 m)
